dc1,Nx,Ny,c,f,dc2,ht,lg1,i,mathindex,N
15.5mm,1,2,1.0mm,200.0kHz,5.2mm,7.2mm,3.7mm,42.0A,copper_lizt_c_1,8676
16.0mm,2,1,4.0mm,100.0kHz,6.8mm,6.3mm,0.3mm,16.0A,copper_lizt_c_4,8677
16.0mm,4,3,1.5mm,100.0kHz,7.8mm,4.8mm,3.5mm,47.0A,copper_lizt_c_1.5,8678
15.5mm,6,2,1.5mm,400.0kHz,8.2mm,6.2mm,2.7mm,5.0A,copper_lizt_c_1.5,8679
19.0mm,1,2,3.5mm,100.0kHz,8.2mm,7.2mm,1.1mm,44.0A,copper_lizt_c_3.5,8680
10.5mm,1,1,1.5mm,200.0kHz,4.7mm,4.7mm,3.9mm,18.0A,copper_lizt_c_1.5,8681
14.5mm,3,2,1.5mm,200.0kHz,5.9mm,7.4mm,2.7mm,14.0A,copper_lizt_c_1.5,8682
9.5mm,2,8,1.0mm,200.0kHz,5.4mm,3.9mm,0.9mm,8.0A,copper_lizt_c_1,8683
8.0mm,8,1,1.0mm,300.0kHz,4.9mm,4.4mm,3.9mm,18.0A,copper_lizt_c_1,8684
11.0mm,2,2,2.0mm,200.0kHz,4.3mm,3.8mm,2.7mm,30.0A,copper_lizt_c_2,8685
13.5mm,3,4,1.5mm,200.0kHz,6.1mm,4.6mm,3.5mm,1.0A,copper_lizt_c_1.5,8686
14.0mm,2,2,1.5mm,200.0kHz,4.2mm,4.2mm,1.7mm,39.0A,copper_lizt_c_1.5,8687
13.5mm,7,4,1.0mm,400.0kHz,6.1mm,7.6mm,2.1mm,6.0A,copper_lizt_c_1,8688
16.0mm,2,2,2.5mm,300.0kHz,5.3mm,4.8mm,1.5mm,37.0A,copper_lizt_c_2.5,8689
9.5mm,1,8,1.0mm,300.0kHz,4.9mm,5.4mm,1.3mm,7.0A,copper_lizt_c_1,8690
8.5mm,6,2,1.5mm,100.0kHz,4.1mm,3.6mm,0.9mm,15.0A,copper_lizt_c_1.5,8691
13.0mm,6,5,1.0mm,400.0kHz,4.9mm,6.9mm,2.5mm,2.0A,copper_lizt_c_1,8692
17.0mm,1,5,1.0mm,300.0kHz,8.1mm,6.1mm,3.5mm,14.0A,copper_lizt_c_1,8693
8.0mm,2,1,3.5mm,200.0kHz,3.9mm,4.9mm,2.1mm,2.0A,copper_lizt_c_3.5,8694
16.0mm,2,5,1.0mm,100.0kHz,4.8mm,4.8mm,3.1mm,41.0A,copper_lizt_c_1,8695
10.5mm,3,2,1.0mm,200.0kHz,3.2mm,3.2mm,0.7mm,6.0A,copper_lizt_c_1,8696
11.5mm,8,2,1.0mm,100.0kHz,4.5mm,5.5mm,1.7mm,9.0A,copper_lizt_c_1,8697
15.5mm,2,5,1.0mm,400.0kHz,6.2mm,5.7mm,3.7mm,29.0A,copper_lizt_c_1,8698
13.5mm,2,2,3.5mm,400.0kHz,7.6mm,6.1mm,1.1mm,7.0A,copper_lizt_c_3.5,8699
6.0mm,8,3,1.0mm,100.0kHz,2.3mm,3.8mm,2.9mm,11.0A,copper_lizt_c_1,8700
11.0mm,5,2,1.0mm,400.0kHz,6.3mm,5.8mm,1.5mm,16.0A,copper_lizt_c_1,8701
16.5mm,1,3,1.0mm,200.0kHz,7.0mm,6.5mm,2.7mm,14.0A,copper_lizt_c_1,8702
5.5mm,1,6,1.5mm,100.0kHz,3.2mm,2.2mm,1.7mm,36.0A,copper_lizt_c_1.5,8703
7.5mm,6,3,1.0mm,400.0kHz,3.3mm,3.8mm,3.5mm,26.0A,copper_lizt_c_1,8704
11.0mm,3,1,3.0mm,400.0kHz,4.3mm,4.8mm,3.9mm,32.0A,copper_lizt_c_3,8705
14.0mm,1,3,1.5mm,400.0kHz,7.7mm,4.2mm,2.5mm,3.0A,copper_lizt_c_1.5,8706
16.5mm,5,3,1.5mm,400.0kHz,7.0mm,7.0mm,3.3mm,43.0A,copper_lizt_c_1.5,8707
15.5mm,2,3,2.0mm,200.0kHz,6.2mm,5.2mm,0.9mm,23.0A,copper_lizt_c_2,8708
16.5mm,4,1,2.0mm,200.0kHz,7.5mm,8.0mm,1.3mm,10.0A,copper_lizt_c_2,8709
12.5mm,3,3,3.0mm,100.0kHz,4.8mm,5.7mm,2.3mm,31.0A,copper_lizt_c_3,8710
18.0mm,6,9,1.0mm,400.0kHz,5.9mm,7.4mm,3.7mm,6.0A,copper_lizt_c_1,8711
12.0mm,3,3,2.0mm,400.0kHz,4.6mm,3.6mm,2.9mm,19.0A,copper_lizt_c_2,8712
13.5mm,2,8,1.0mm,200.0kHz,5.1mm,5.1mm,0.9mm,7.0A,copper_lizt_c_1,8713
11.5mm,4,7,1.0mm,300.0kHz,5.5mm,6.0mm,2.9mm,23.0A,copper_lizt_c_1,8714
7.0mm,2,4,1.5mm,300.0kHz,2.6mm,3.6mm,1.1mm,7.0A,copper_lizt_c_1.5,8715
13.5mm,1,6,1.0mm,100.0kHz,7.1mm,8.1mm,3.3mm,33.0A,copper_lizt_c_1,8716
7.5mm,4,3,1.0mm,300.0kHz,4.8mm,4.2mm,1.9mm,24.0A,copper_lizt_c_1,8717
17.0mm,8,1,1.0mm,100.0kHz,5.1mm,6.1mm,2.5mm,39.0A,copper_lizt_c_1,8718
14.0mm,4,3,2.0mm,400.0kHz,4.2mm,6.7mm,3.9mm,20.0A,copper_lizt_c_2,8719
5.5mm,5,4,1.5mm,300.0kHz,2.7mm,1.7mm,3.9mm,13.0A,copper_lizt_c_1.5,8720
12.5mm,2,2,2.5mm,400.0kHz,3.8mm,6.2mm,1.9mm,9.0A,copper_lizt_c_2.5,8721
12.5mm,1,1,4.5mm,400.0kHz,6.2mm,7.2mm,2.3mm,21.0A,copper_lizt_c_4.5,8722
19.0mm,1,1,2.5mm,400.0kHz,7.7mm,6.2mm,1.5mm,16.0A,copper_lizt_c_2.5,8723
9.0mm,2,6,1.0mm,200.0kHz,3.2mm,5.2mm,2.3mm,30.0A,copper_lizt_c_1,8724
12.5mm,1,3,1.5mm,100.0kHz,6.2mm,7.2mm,3.7mm,20.0A,copper_lizt_c_1.5,8725
16.0mm,2,5,1.5mm,200.0kHz,7.3mm,5.3mm,1.3mm,10.0A,copper_lizt_c_1.5,8726
17.5mm,2,2,3.0mm,200.0kHz,6.8mm,7.3mm,1.1mm,49.0A,copper_lizt_c_3,8727
14.5mm,1,3,1.5mm,200.0kHz,7.4mm,4.4mm,2.9mm,1.0A,copper_lizt_c_1.5,8728
13.5mm,3,4,2.0mm,300.0kHz,7.6mm,8.1mm,2.9mm,3.0A,copper_lizt_c_2,8729
15.0mm,2,5,1.0mm,300.0kHz,6.5mm,7.5mm,3.1mm,36.0A,copper_lizt_c_1,8730
10.5mm,6,1,1.5mm,300.0kHz,3.2mm,3.2mm,1.9mm,43.0A,copper_lizt_c_1.5,8731
5.0mm,7,3,1.0mm,400.0kHz,1.5mm,1.5mm,2.1mm,4.0A,copper_lizt_c_1,8732
15.0mm,3,4,1.0mm,400.0kHz,8.0mm,7.0mm,3.5mm,21.0A,copper_lizt_c_1,8733
7.5mm,5,7,1.0mm,300.0kHz,3.3mm,4.2mm,2.9mm,19.0A,copper_lizt_c_1,8734
15.0mm,1,3,2.5mm,100.0kHz,5.5mm,7.5mm,3.3mm,25.0A,copper_lizt_c_2.5,8735
14.0mm,1,2,3.0mm,300.0kHz,5.7mm,6.7mm,1.9mm,21.0A,copper_lizt_c_3,8736
13.0mm,3,2,1.0mm,200.0kHz,5.4mm,6.9mm,2.1mm,47.0A,copper_lizt_c_1,8737
11.0mm,1,1,2.0mm,300.0kHz,4.3mm,3.3mm,2.9mm,25.0A,copper_lizt_c_2,8738
13.5mm,2,2,3.0mm,300.0kHz,7.6mm,4.1mm,3.3mm,8.0A,copper_lizt_c_3,8739
9.5mm,5,2,1.5mm,200.0kHz,2.9mm,5.9mm,2.7mm,7.0A,copper_lizt_c_1.5,8740
9.5mm,2,3,3.0mm,100.0kHz,4.4mm,4.9mm,1.5mm,30.0A,copper_lizt_c_3,8741
9.5mm,2,1,1.5mm,200.0kHz,5.9mm,5.9mm,2.7mm,8.0A,copper_lizt_c_1.5,8742
16.5mm,6,2,1.5mm,200.0kHz,5.5mm,6.5mm,3.3mm,22.0A,copper_lizt_c_1.5,8743
15.5mm,1,1,3.5mm,100.0kHz,6.2mm,6.2mm,0.7mm,3.0A,copper_lizt_c_3.5,8744
15.0mm,8,1,1.0mm,100.0kHz,7.5mm,6.0mm,3.7mm,37.0A,copper_lizt_c_1,8745
12.0mm,1,2,2.0mm,100.0kHz,5.1mm,3.6mm,3.1mm,37.0A,copper_lizt_c_2,8746
18.0mm,1,8,1.0mm,200.0kHz,5.4mm,7.4mm,3.7mm,49.0A,copper_lizt_c_1,8747
5.0mm,5,4,1.5mm,100.0kHz,2.5mm,3.0mm,2.9mm,26.0A,copper_lizt_c_1.5,8748
8.5mm,3,3,3.0mm,200.0kHz,4.6mm,2.6mm,3.7mm,48.0A,copper_lizt_c_3,8749
10.0mm,3,5,1.5mm,200.0kHz,3.0mm,4.0mm,0.7mm,9.0A,copper_lizt_c_1.5,8750
18.5mm,8,3,1.0mm,200.0kHz,7.6mm,7.6mm,2.9mm,18.0A,copper_lizt_c_1,8751
14.0mm,1,2,2.5mm,100.0kHz,4.7mm,4.7mm,3.9mm,13.0A,copper_lizt_c_2.5,8752
14.5mm,2,3,1.0mm,100.0kHz,6.9mm,7.4mm,2.7mm,24.0A,copper_lizt_c_1,8753
13.0mm,2,2,2.0mm,400.0kHz,7.9mm,4.4mm,2.7mm,9.0A,copper_lizt_c_2,8754
15.0mm,1,5,1.0mm,300.0kHz,8.0mm,8.0mm,2.7mm,18.0A,copper_lizt_c_1,8755
9.0mm,1,1,1.0mm,100.0kHz,3.7mm,2.7mm,1.9mm,17.0A,copper_lizt_c_1,8756
14.5mm,4,1,1.5mm,100.0kHz,4.9mm,4.9mm,0.7mm,9.0A,copper_lizt_c_1.5,8757
19.5mm,5,6,1.0mm,200.0kHz,7.4mm,6.4mm,1.3mm,4.0A,copper_lizt_c_1,8758
13.0mm,4,1,2.0mm,100.0kHz,5.4mm,6.4mm,2.1mm,38.0A,copper_lizt_c_2,8759
11.5mm,2,8,1.0mm,100.0kHz,5.5mm,4.0mm,3.7mm,27.0A,copper_lizt_c_1,8760
11.0mm,4,1,2.0mm,400.0kHz,4.3mm,5.3mm,3.5mm,21.0A,copper_lizt_c_2,8761
11.0mm,2,3,1.5mm,300.0kHz,5.8mm,3.8mm,1.3mm,20.0A,copper_lizt_c_1.5,8762
7.0mm,3,3,3.0mm,200.0kHz,3.1mm,2.1mm,1.3mm,12.0A,copper_lizt_c_3,8763
11.5mm,3,8,1.0mm,100.0kHz,4.5mm,4.0mm,3.5mm,19.0A,copper_lizt_c_1,8764
15.0mm,1,7,1.0mm,400.0kHz,5.0mm,5.0mm,0.3mm,5.0A,copper_lizt_c_1,8765
14.5mm,9,8,1.0mm,100.0kHz,5.9mm,4.9mm,3.9mm,5.0A,copper_lizt_c_1,8766
14.5mm,5,6,1.5mm,200.0kHz,5.9mm,5.4mm,3.5mm,11.0A,copper_lizt_c_1.5,8767
14.0mm,5,4,1.5mm,200.0kHz,5.2mm,6.2mm,0.9mm,9.0A,copper_lizt_c_1.5,8768
14.0mm,4,3,2.0mm,300.0kHz,8.2mm,5.7mm,2.5mm,9.0A,copper_lizt_c_2,8769
16.0mm,3,1,2.5mm,300.0kHz,4.8mm,7.3mm,2.1mm,10.0A,copper_lizt_c_2.5,8770
12.0mm,4,2,1.0mm,200.0kHz,7.1mm,7.1mm,3.3mm,29.0A,copper_lizt_c_1,8771
11.0mm,8,4,1.0mm,300.0kHz,4.3mm,5.3mm,3.9mm,13.0A,copper_lizt_c_1,8772
6.0mm,1,2,1.5mm,100.0kHz,2.8mm,2.8mm,0.5mm,38.0A,copper_lizt_c_1.5,8773
15.0mm,6,1,1.5mm,300.0kHz,6.5mm,4.5mm,2.5mm,17.0A,copper_lizt_c_1.5,8774
12.5mm,2,9,1.0mm,100.0kHz,5.2mm,7.2mm,3.7mm,48.0A,copper_lizt_c_1,8775
8.5mm,1,5,1.0mm,400.0kHz,2.6mm,3.1mm,0.5mm,11.0A,copper_lizt_c_1,8776
8.5mm,2,5,1.5mm,400.0kHz,2.6mm,4.6mm,3.5mm,46.0A,copper_lizt_c_1.5,8777
15.0mm,2,8,1.0mm,100.0kHz,6.5mm,5.5mm,1.1mm,13.0A,copper_lizt_c_1,8778
14.5mm,6,5,1.0mm,200.0kHz,6.9mm,6.9mm,2.9mm,3.0A,copper_lizt_c_1,8779
14.5mm,2,1,2.5mm,100.0kHz,5.9mm,6.9mm,1.7mm,24.0A,copper_lizt_c_2.5,8780
17.0mm,9,1,1.0mm,200.0kHz,6.6mm,6.1mm,1.9mm,9.0A,copper_lizt_c_1,8781
7.5mm,1,1,1.5mm,100.0kHz,2.8mm,4.8mm,3.9mm,25.0A,copper_lizt_c_1.5,8782
14.5mm,1,5,1.5mm,100.0kHz,5.9mm,5.9mm,2.9mm,9.0A,copper_lizt_c_1.5,8783
19.0mm,6,6,1.5mm,200.0kHz,6.2mm,5.7mm,3.5mm,19.0A,copper_lizt_c_1.5,8784
8.5mm,1,3,1.0mm,200.0kHz,2.6mm,3.6mm,0.5mm,37.0A,copper_lizt_c_1,8785
16.5mm,1,5,1.5mm,400.0kHz,5.5mm,7.5mm,2.5mm,6.0A,copper_lizt_c_1.5,8786
11.5mm,5,8,1.0mm,200.0kHz,3.5mm,4.0mm,2.9mm,7.0A,copper_lizt_c_1,8787
14.5mm,1,9,1.0mm,400.0kHz,5.9mm,7.9mm,1.5mm,24.0A,copper_lizt_c_1,8788
10.5mm,4,1,2.0mm,100.0kHz,4.2mm,4.2mm,2.3mm,12.0A,copper_lizt_c_2,8789
16.5mm,3,2,2.0mm,400.0kHz,8.0mm,8.0mm,2.1mm,7.0A,copper_lizt_c_2,8790
12.0mm,2,3,3.0mm,100.0kHz,5.1mm,5.1mm,2.9mm,33.0A,copper_lizt_c_3,8791
9.5mm,2,1,3.0mm,100.0kHz,4.4mm,5.9mm,3.3mm,7.0A,copper_lizt_c_3,8792
14.0mm,6,6,1.5mm,300.0kHz,8.2mm,4.7mm,1.5mm,5.0A,copper_lizt_c_1.5,8793
14.5mm,3,1,3.0mm,100.0kHz,6.4mm,7.4mm,1.5mm,21.0A,copper_lizt_c_3,8794
14.0mm,4,3,1.0mm,100.0kHz,4.7mm,6.2mm,2.7mm,22.0A,copper_lizt_c_1,8795
13.5mm,3,2,2.5mm,400.0kHz,4.6mm,6.6mm,1.9mm,14.0A,copper_lizt_c_2.5,8796
12.5mm,3,1,2.0mm,200.0kHz,3.8mm,6.7mm,3.1mm,30.0A,copper_lizt_c_2,8797
10.0mm,1,2,1.0mm,200.0kHz,5.5mm,5.5mm,3.7mm,35.0A,copper_lizt_c_1,8798
9.5mm,8,6,1.0mm,100.0kHz,2.9mm,5.9mm,3.9mm,18.0A,copper_lizt_c_1,8799
8.5mm,6,2,1.0mm,300.0kHz,5.1mm,3.1mm,2.5mm,34.0A,copper_lizt_c_1,8800
7.0mm,2,4,2.0mm,100.0kHz,3.1mm,4.1mm,3.9mm,6.0A,copper_lizt_c_2,8801
13.0mm,5,1,1.5mm,100.0kHz,5.4mm,5.4mm,3.3mm,31.0A,copper_lizt_c_1.5,8802
19.0mm,2,2,2.0mm,200.0kHz,5.7mm,5.7mm,1.5mm,31.0A,copper_lizt_c_2,8803
16.0mm,4,4,1.5mm,400.0kHz,5.8mm,7.3mm,2.1mm,21.0A,copper_lizt_c_1.5,8804
10.0mm,3,9,1.0mm,400.0kHz,6.0mm,5.0mm,1.7mm,7.0A,copper_lizt_c_1,8805
14.5mm,1,5,1.0mm,400.0kHz,4.9mm,6.9mm,3.1mm,41.0A,copper_lizt_c_1,8806
15.5mm,8,6,1.0mm,200.0kHz,6.7mm,6.7mm,1.9mm,2.0A,copper_lizt_c_1,8807
10.0mm,7,1,1.0mm,100.0kHz,3.0mm,5.0mm,1.9mm,20.0A,copper_lizt_c_1,8808
13.0mm,2,3,1.5mm,400.0kHz,7.4mm,5.4mm,1.9mm,5.0A,copper_lizt_c_1.5,8809
13.5mm,2,3,3.0mm,300.0kHz,7.1mm,4.6mm,2.1mm,34.0A,copper_lizt_c_3,8810
7.5mm,6,1,1.0mm,100.0kHz,3.3mm,3.8mm,0.5mm,4.0A,copper_lizt_c_1,8811
11.0mm,1,5,1.0mm,400.0kHz,5.8mm,4.3mm,3.9mm,4.0A,copper_lizt_c_1,8812
15.5mm,4,5,1.0mm,200.0kHz,8.2mm,5.2mm,1.1mm,11.0A,copper_lizt_c_1,8813
13.5mm,6,4,1.5mm,300.0kHz,4.1mm,7.6mm,3.5mm,1.0A,copper_lizt_c_1.5,8814
13.0mm,1,4,1.5mm,200.0kHz,6.4mm,7.9mm,1.1mm,9.0A,copper_lizt_c_1.5,8815
6.5mm,3,2,2.0mm,400.0kHz,2.0mm,3.5mm,0.1mm,3.0A,copper_lizt_c_2,8816
8.5mm,1,3,2.0mm,300.0kHz,3.1mm,4.1mm,3.9mm,6.0A,copper_lizt_c_2,8817
9.5mm,5,4,1.5mm,200.0kHz,5.9mm,2.9mm,3.1mm,20.0A,copper_lizt_c_1.5,8818
12.5mm,3,5,1.0mm,300.0kHz,6.7mm,4.2mm,1.3mm,18.0A,copper_lizt_c_1,8819
7.5mm,2,1,1.0mm,200.0kHz,3.3mm,4.2mm,2.9mm,11.0A,copper_lizt_c_1,8820
18.5mm,8,2,1.0mm,400.0kHz,7.6mm,5.6mm,1.9mm,11.0A,copper_lizt_c_1,8821
11.0mm,3,3,3.0mm,200.0kHz,3.8mm,6.3mm,1.3mm,26.0A,copper_lizt_c_3,8822
17.0mm,6,2,1.0mm,200.0kHz,5.6mm,8.1mm,2.7mm,19.0A,copper_lizt_c_1,8823
16.0mm,2,3,2.0mm,300.0kHz,5.8mm,7.8mm,3.9mm,26.0A,copper_lizt_c_2,8824
10.5mm,4,3,2.0mm,400.0kHz,6.2mm,5.2mm,3.9mm,36.0A,copper_lizt_c_2,8825
18.0mm,6,5,1.5mm,100.0kHz,5.4mm,5.4mm,3.7mm,5.0A,copper_lizt_c_1.5,8826
14.0mm,4,3,1.0mm,100.0kHz,6.2mm,4.2mm,2.7mm,36.0A,copper_lizt_c_1,8827
5.0mm,3,1,2.0mm,100.0kHz,1.5mm,2.5mm,1.5mm,40.0A,copper_lizt_c_2,8828
14.0mm,9,2,1.0mm,400.0kHz,7.7mm,7.7mm,3.9mm,20.0A,copper_lizt_c_1,8829
13.5mm,1,1,1.5mm,100.0kHz,4.6mm,5.6mm,0.9mm,28.0A,copper_lizt_c_1.5,8830
16.5mm,7,6,1.0mm,300.0kHz,8.0mm,6.5mm,2.3mm,9.0A,copper_lizt_c_1,8831
15.0mm,1,5,1.0mm,200.0kHz,5.5mm,4.5mm,1.1mm,4.0A,copper_lizt_c_1,8832
7.5mm,1,7,1.0mm,200.0kHz,3.8mm,3.3mm,3.1mm,43.0A,copper_lizt_c_1,8833
9.5mm,2,2,1.0mm,300.0kHz,5.4mm,3.4mm,1.7mm,36.0A,copper_lizt_c_1,8834
12.5mm,6,2,1.5mm,300.0kHz,4.8mm,6.7mm,1.7mm,31.0A,copper_lizt_c_1.5,8835
6.0mm,1,1,1.0mm,300.0kHz,2.3mm,3.3mm,1.7mm,20.0A,copper_lizt_c_1,8836
10.0mm,2,6,1.0mm,400.0kHz,5.0mm,3.0mm,3.7mm,8.0A,copper_lizt_c_1,8837
11.0mm,2,3,1.0mm,300.0kHz,5.3mm,5.8mm,1.9mm,8.0A,copper_lizt_c_1,8838
19.0mm,5,3,1.0mm,200.0kHz,6.7mm,7.7mm,2.7mm,11.0A,copper_lizt_c_1,8839
19.0mm,4,1,1.5mm,100.0kHz,6.7mm,5.7mm,3.1mm,2.0A,copper_lizt_c_1.5,8840
15.0mm,3,2,2.0mm,300.0kHz,6.5mm,5.5mm,3.5mm,34.0A,copper_lizt_c_2,8841
16.0mm,4,3,1.0mm,300.0kHz,4.8mm,4.8mm,3.9mm,1.0A,copper_lizt_c_1,8842
13.5mm,1,5,1.5mm,300.0kHz,4.1mm,6.6mm,3.7mm,11.0A,copper_lizt_c_1.5,8843
15.0mm,5,2,1.0mm,200.0kHz,5.0mm,4.5mm,3.1mm,30.0A,copper_lizt_c_1,8844
6.0mm,8,5,1.0mm,400.0kHz,3.3mm,3.3mm,3.5mm,2.0A,copper_lizt_c_1,8845
18.5mm,2,1,1.0mm,200.0kHz,7.1mm,6.1mm,2.1mm,45.0A,copper_lizt_c_1,8846
13.0mm,2,5,1.0mm,200.0kHz,5.4mm,7.4mm,2.9mm,42.0A,copper_lizt_c_1,8847
19.0mm,3,5,1.5mm,300.0kHz,6.2mm,6.2mm,1.5mm,22.0A,copper_lizt_c_1.5,8848
17.0mm,5,6,1.5mm,400.0kHz,6.1mm,8.1mm,1.1mm,4.0A,copper_lizt_c_1.5,8849
14.0mm,1,6,1.5mm,300.0kHz,5.2mm,4.2mm,1.9mm,7.0A,copper_lizt_c_1.5,8850
14.5mm,1,3,1.5mm,100.0kHz,7.4mm,5.4mm,2.9mm,40.0A,copper_lizt_c_1.5,8851
18.5mm,4,7,1.0mm,300.0kHz,7.6mm,7.1mm,3.9mm,14.0A,copper_lizt_c_1,8852
15.5mm,3,2,2.5mm,300.0kHz,6.2mm,6.2mm,1.9mm,4.0A,copper_lizt_c_2.5,8853
12.0mm,6,2,1.0mm,200.0kHz,4.6mm,3.6mm,1.5mm,28.0A,copper_lizt_c_1,8854
9.5mm,2,1,1.0mm,400.0kHz,4.9mm,3.9mm,3.7mm,26.0A,copper_lizt_c_1,8855
15.5mm,6,1,1.5mm,400.0kHz,7.7mm,7.2mm,3.3mm,43.0A,copper_lizt_c_1.5,8856
16.5mm,3,1,1.5mm,400.0kHz,7.0mm,5.5mm,0.9mm,48.0A,copper_lizt_c_1.5,8857
9.5mm,7,5,1.0mm,400.0kHz,3.4mm,4.9mm,3.9mm,25.0A,copper_lizt_c_1,8858
5.5mm,2,1,2.5mm,300.0kHz,1.7mm,2.2mm,2.5mm,21.0A,copper_lizt_c_2.5,8859
9.5mm,3,3,1.5mm,300.0kHz,3.9mm,3.9mm,2.1mm,45.0A,copper_lizt_c_1.5,8860
13.5mm,2,2,1.5mm,300.0kHz,5.1mm,4.6mm,2.5mm,34.0A,copper_lizt_c_1.5,8861
14.0mm,9,6,1.0mm,200.0kHz,5.7mm,7.7mm,3.7mm,1.0A,copper_lizt_c_1,8862
17.5mm,4,1,2.0mm,400.0kHz,5.3mm,5.3mm,2.1mm,34.0A,copper_lizt_c_2,8863
13.0mm,2,1,3.0mm,400.0kHz,7.4mm,6.9mm,3.5mm,18.0A,copper_lizt_c_3,8864
17.5mm,1,4,2.0mm,100.0kHz,7.3mm,7.8mm,3.1mm,17.0A,copper_lizt_c_2,8865
15.5mm,4,4,1.5mm,200.0kHz,5.2mm,8.2mm,3.7mm,23.0A,copper_lizt_c_1.5,8866
9.5mm,3,1,1.0mm,300.0kHz,5.4mm,2.9mm,0.5mm,11.0A,copper_lizt_c_1,8867
13.5mm,4,2,2.0mm,100.0kHz,8.1mm,6.6mm,2.5mm,20.0A,copper_lizt_c_2,8868
19.0mm,3,5,1.5mm,400.0kHz,7.2mm,8.2mm,1.5mm,16.0A,copper_lizt_c_1.5,8869
15.0mm,4,3,1.0mm,200.0kHz,6.5mm,6.5mm,0.9mm,15.0A,copper_lizt_c_1,8870
7.5mm,3,5,1.0mm,100.0kHz,4.2mm,3.8mm,2.7mm,7.0A,copper_lizt_c_1,8871
19.0mm,4,1,2.0mm,200.0kHz,7.7mm,7.2mm,3.9mm,15.0A,copper_lizt_c_2,8872
10.5mm,3,2,1.5mm,400.0kHz,5.7mm,4.7mm,1.3mm,31.0A,copper_lizt_c_1.5,8873
12.0mm,4,1,1.0mm,100.0kHz,6.1mm,7.1mm,2.5mm,11.0A,copper_lizt_c_1,8874
19.5mm,2,1,4.0mm,200.0kHz,6.9mm,6.9mm,0.9mm,26.0A,copper_lizt_c_4,8875
19.0mm,3,4,1.0mm,200.0kHz,6.7mm,6.7mm,2.1mm,4.0A,copper_lizt_c_1,8876
16.0mm,2,1,3.5mm,100.0kHz,7.8mm,6.8mm,1.9mm,46.0A,copper_lizt_c_3.5,8877
6.5mm,1,2,4.0mm,300.0kHz,3.5mm,3.0mm,2.7mm,25.0A,copper_lizt_c_4,8878
17.5mm,7,4,1.0mm,200.0kHz,5.3mm,6.8mm,2.9mm,1.0A,copper_lizt_c_1,8879
8.5mm,3,4,1.5mm,200.0kHz,3.1mm,4.1mm,3.3mm,42.0A,copper_lizt_c_1.5,8880
7.5mm,2,3,2.5mm,100.0kHz,2.8mm,4.8mm,3.3mm,19.0A,copper_lizt_c_2.5,8881
12.5mm,4,9,1.0mm,200.0kHz,6.7mm,3.8mm,1.3mm,1.0A,copper_lizt_c_1,8882
16.0mm,2,4,2.0mm,200.0kHz,6.8mm,4.8mm,3.5mm,14.0A,copper_lizt_c_2,8883
12.5mm,1,2,4.0mm,200.0kHz,4.2mm,5.7mm,2.3mm,25.0A,copper_lizt_c_4,8884
13.0mm,5,1,1.0mm,400.0kHz,7.4mm,6.9mm,0.7mm,31.0A,copper_lizt_c_1,8885
10.5mm,4,4,2.0mm,300.0kHz,3.7mm,5.2mm,3.7mm,3.0A,copper_lizt_c_2,8886
16.0mm,3,1,2.0mm,100.0kHz,5.8mm,5.3mm,0.9mm,44.0A,copper_lizt_c_2,8887
17.5mm,1,2,1.0mm,200.0kHz,7.3mm,6.8mm,2.3mm,43.0A,copper_lizt_c_1,8888
15.5mm,6,2,1.0mm,200.0kHz,4.7mm,7.7mm,0.9mm,8.0A,copper_lizt_c_1,8889
11.0mm,8,4,1.0mm,400.0kHz,4.8mm,5.8mm,2.7mm,17.0A,copper_lizt_c_1,8890
11.0mm,2,2,4.0mm,400.0kHz,6.8mm,6.3mm,1.5mm,4.0A,copper_lizt_c_4,8891
8.5mm,1,3,2.0mm,200.0kHz,4.1mm,4.1mm,3.1mm,11.0A,copper_lizt_c_2,8892
17.5mm,1,1,3.0mm,400.0kHz,5.8mm,6.3mm,2.7mm,11.0A,copper_lizt_c_3,8893
10.0mm,6,1,1.0mm,400.0kHz,6.0mm,5.0mm,1.1mm,43.0A,copper_lizt_c_1,8894
16.5mm,1,5,1.0mm,100.0kHz,8.0mm,5.0mm,0.3mm,14.0A,copper_lizt_c_1,8895
13.5mm,6,2,1.5mm,200.0kHz,8.1mm,7.1mm,3.5mm,9.0A,copper_lizt_c_1.5,8896
9.5mm,6,4,1.5mm,200.0kHz,3.9mm,2.9mm,0.9mm,3.0A,copper_lizt_c_1.5,8897
11.0mm,1,1,4.5mm,400.0kHz,6.8mm,6.8mm,2.1mm,34.0A,copper_lizt_c_4.5,8898
15.5mm,6,4,1.5mm,100.0kHz,4.7mm,8.2mm,3.7mm,2.0A,copper_lizt_c_1.5,8899
16.0mm,8,3,1.0mm,100.0kHz,5.8mm,6.8mm,3.5mm,8.0A,copper_lizt_c_1,8900
18.0mm,2,1,2.0mm,100.0kHz,6.9mm,5.4mm,3.5mm,1.0A,copper_lizt_c_2,8901
7.5mm,1,3,1.5mm,100.0kHz,2.8mm,4.8mm,3.9mm,15.0A,copper_lizt_c_1.5,8902
6.0mm,2,1,3.5mm,200.0kHz,3.3mm,3.8mm,3.7mm,14.0A,copper_lizt_c_3.5,8903
13.0mm,3,6,1.5mm,300.0kHz,7.9mm,5.9mm,3.7mm,48.0A,copper_lizt_c_1.5,8904
13.5mm,1,5,1.5mm,200.0kHz,4.1mm,7.1mm,1.5mm,42.0A,copper_lizt_c_1.5,8905
